,fdc_id,carbs_g,calories,fiber_g,protein_g,fat_g,food_name,avg_gram_weight
92,321778,,,2.5,,,"Broccoli, Region 2, n/a, Yes, Fiber - NFY01048R",
93,321790,,,,,0.3,"Broccoli, Region 2, n/a, Yes, Proximates - NFY01049F",
94,321793,,,,,0.29,"Broccoli, Cooked, Region 2, n/a, Yes, Proximates - NFY01049N",
95,321796,,,2.2,,,"Broccoli, Cooked, Region 2, n/a, Yes, Fiber - NFY01049U",
96,321809,,,,,0.45,"Broccoli, Cooked, Region 2, n/a, Yes, Proximates - NFY0104AN",
97,321817,,,,,0.31,"Broccoli, Pass 2, Region 2, n/a, Yes, Proximates - NFY010D7D",
98,321831,,,,,0.43,"Broccoli, steamed, Pass 2, Region 2, n/a, Yes, Proximates - NFY010D8W",
99,321862,,,,,0.23,"Broccoli, Pass 2, Region 4, n/a, Yes, Proximates - NFY010CV8",
100,321865,,,,,0.35,"Broccoli, steamed, Pass 2, Region 4, n/a, Yes, Proximates - NFY010CW4",
101,321889,,,,,0.41,"Broccoli, Pass 2, Region 3, n/a, Yes, Proximates - NFY010D84",
102,321900,6.29,,2.4,2.57,0.34,"Broccoli, raw",76.0
103,321903,,,,,1.07,"MILK, 1%",
104,321909,,,,,1.02,"MILK, 1%",
105,321915,,,,,0.92,"MILK, 1%",
106,321924,,,,,0.93,"MILK, 1%",
107,321944,,,,,0.94,"MILK, 1%",
108,321963,,,,,1.19,"MILK, 1%",
109,321982,,,,,0.92,"MILK, 1%",
110,322005,,,,,1.0,"MILK, 1%",
111,322024,,,,,1.12,"MILK, SKIM ",
112,322035,,,,,1.14,"MILK, 1% ",
113,322045,,,,,0.94,"MILK, 1%",
114,322051,,,,,0.87,"MILK, 1%",
115,322057,,,,,0.72,"MILK, 1%",
116,322063,,,,,0.94,"MILK, 1%",
117,322069,,,,,0.98,"MILK, 1%",
118,322075,,,,,0.85,"MILK, 1%",
119,322081,,,,,0.92,"MILK, 1%",
120,322089,,,,,1.07,"MILK, 1%",
121,322109,,,,,0.87,"MILK, 1%",
122,322132,,,,,0.84,"MILK, 1%",
123,322154,,,,,0.89,"MILK, 1%",
124,322175,,,,,0.91,"MILK, 1%",
125,322184,,,,,0.96,"MILK, 1%",
126,322192,,,,,0.87,"MILK, 1%",
127,322211,,,,,1.01,"MILK, 1%",
128,322218,,,,,1.04,"MILK, 1%",
129,322228,5.19,,,3.38,0.95,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",413.1666666666667
130,322231,,,,,0.06,"MILK, SKIM ",
131,322238,,,,,0.08,"MILK, SKIM ",
132,322245,,,,,0.03,"MILK, SKIM ",
133,322253,,,,,0.09,"MILK, SKIM ",
134,322272,,,,,0.07,"MILK, SKIM ",
135,322291,,,,,0.14,"MILK, SKIM ",
136,322310,,,,,0.07,"MILK, SKIM ",
137,322333,,,,,0.08,"MILK, SKIM ",
138,322353,,,,,0.07,"MILK, 1%",
139,322365,,,,,0.11,"MILK, SKIM ",
140,322375,,,,,0.05,"MILK, SKIM ",
141,322381,,,,,0.08,"MILK, SKIM ",
142,322384,,,,,0.11,"MILK, SKIM ",
143,322388,,,,,0.04,"MILK, SKIM ",
144,322394,,,,,0.1,"MILK, SKIM ",
145,322400,,,,,0.1,"MILK, SKIM ",
146,322406,,,,,0.1,"MILK, SKIM ",
147,322412,,,,,0.05,"MILK, SKIM ",
148,322420,,,,,0.08,"MILK, SKIM ",
149,322441,,,,,0.15,"MILK, SKIM ",
150,322452,,,,,0.06,"MILK, SKIM ",
151,322475,,,,,0.15,"MILK, SKIM ",
152,322482,,,,,0.18,"MILK, SKIM ",
153,322496,,,,,0.06,"MILK, SKIM ",
154,322516,,,,,0.06,"MILK, SKIM ",
155,322524,,,,,0.08,"MILK, SKIM ",
156,322543,,,,,0.06,"MILK, SKIM ",
157,322559,4.89,,,3.43,0.08,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",413.2
158,322562,,,,,3.34,"MILK, WHOLE ",
159,322570,,,,,3.15,"MILK, WHOLE ",
160,322592,,,,,3.22,"MILK, WHOLE ",
161,322616,,,,,3.03,"MILK, WHOLE ",
162,322632,,,,,3.21,"MILK, WHOLE ",
163,322651,,,,,3.18,"MILK, WHOLE ",
164,322670,,,,,3.19,"MILK, WHOLE ",
165,322691,,,,,3.13,"MILK, WHOLE ",
166,322698,,,,,3.2,"MILK, WHOLE ",
167,322704,,,,,3.25,"MILK, WHOLE ",
168,322710,,,,,3.28,"MILK, WHOLE ",
169,322717,,,,,3.41,"MILK, WHOLE ",
170,322723,,,,,3.2,"MILK, WHOLE ",
171,322729,,,,,3.21,"MILK, WHOLE ",
172,322736,,,,,3.3,"MILK, WHOLE ",
173,322744,,,,,2.58,"MILK, WHOLE ",
174,322752,,,,,2.59,"MILK, WHOLE ",
175,322754,,,,,2.59,"MILK, WHOLE ",
176,322765,,,,,3.24,"MILK, WHOLE ",
177,322773,,,,,3.22,"MILK, WHOLE ",
178,322797,,,,,3.34,"MILK, WHOLE ",
179,322818,,,,,3.24,"MILK, WHOLE ",
180,322838,,,,,3.21,"MILK, WHOLE ",
181,322844,,,,,3.21,"MILK, WHOLE ",
182,322855,,,,,3.29,"MILK, WHOLE ",
183,322875,,,,,3.2,"MILK, WHOLE ",
184,322892,4.67,,,3.28,3.2,"Milk, whole, 3.25% milkfat, with added vitamin D",312.625
185,322896,,,,,26.9,Hot dogs beef,
186,322906,,,,,27.3,Hot dogs beef,
187,322917,,,,,29.5,Hot dogs beef,
188,322932,,,,,27.8,Hot dogs beef,
189,322949,,,,,28.0,Hot dogs beef,
190,322962,,,,,30.6,Hot dogs beef,
191,322969,,,,,28.0,Hot dogs beef,
192,322985,,,,,27.2,Hot dogs beef,
193,323004,,,,,28.3,Hot dogs beef,
194,323021,,,,,30.0,Hot dogs beef,
195,323039,,,,,31.3,Hot dogs beef,
196,323051,,,,,26.5,Hot dogs beef,
197,323064,,,,,27.3,Hot dogs beef,
198,323081,,,,,27.0,Hot dogs beef,
199,323092,,,,,27.4,Hot dogs beef,
200,323102,,,,,25.8,Hot dogs beef,
201,323116,,,,,27.4,Hot dogs beef,
202,323121,2.89,310.0,,11.7,28.0,"Frankfurter, beef, unheated",48.6
203,323127,,,,,59.6,Almonds dry roasted salted,
204,323134,,,,,59.7,Almonds dry roasted salted,
205,323142,,,,,59.6,Almonds dry roasted salted,
206,323152,,,,,59.0,Almonds dry roasted salted,
207,323157,,,10.6,,,"Almonds, dry roasted, salted - NFY1213KL",
208,323167,,,,,60.0,Almonds dry roasted salted,
209,323174,,,10.9,,,"Almonds, dry roasted, salted - NFY1213JZ",
210,323186,,,,,53.1,Almonds dry roasted salted,
211,323195,,,,,59.6,Almonds dry roasted salted,
212,323200,,,10.7,,,"Almonds, dry roasted, salted - NFY1213J8",
213,323210,,,,,59.4,Almonds dry roasted salted,
214,323220,,,,,54.8,Almonds dry roasted salted,
215,323225,,,11.0,,,"Almonds, dry roasted, salted - NFY1213IK",
216,323238,,,,,53.2,Almonds dry roasted salted,
217,323244,,,11.5,,,"Almonds, dry roasted, salted - NFY1213I4",
218,323256,,,,,57.6,Almonds dry roasted salted,
219,323261,,,11.3,,,"Almonds, dry roasted, salted - NFY1213LG",
220,323271,,,,,56.1,Almonds dry roasted salted,
221,323276,,,11.2,,,"Almonds, dry roasted, salted - NFY1213L0",
222,323284,,,,,59.0,Almonds dry roasted salted,
223,323290,,,10.8,,,"Almonds, dry roasted, salted - NFY1213M2",
224,323294,16.2,667.0,11.0,20.4,57.8,"Nuts, almonds, dry roasted, with salt added",135.0
225,323300,,,,,11.2,"CHEESE, RICOTTA, WHOLE MILK, GALBANI",
226,323308,,,,,8.2,"CHEESE, RICOTTA, WHOLE MILK, SORRENTO",
227,323316,,,,,11.2,"CHEESE, RICOTTA, WHOLE MILK, GALBANI",
228,323331,,,,,11.3,"CHEESE, RICOTTA, WHOLE MILK, GALBANI",
229,323347,,,,,11.5,"CHEESE, RICOTTA, WHOLE MILK, POLLY-O",
230,323367,,,,,11.5,"CHEESE, RICOTTA, WHOLE MILK, STORE/OTHER",
231,323375,,,,,12.6,"CHEESE, RICOTTA, WHOLE MILK, STORE/OTHER",
232,323384,,,,,11.9,"CHEESE, RICOTTA, WHOLE MILK, LUCERNE",
233,323399,,,,,10.1,"CHEESE, RICOTTA, WHOLE MILK, STORE/OTHER",
234,323414,,,,,11.4,"CHEESE, RICOTTA, WHOLE MILK, STORE/OTHER",
235,323424,,,,,11.0,"CHEESE, RICOTTA, WHOLE MILK, STORE/OTHER",
236,323431,,,,,11.0,"CHEESE, RICOTTA, WHOLE MILK, GALBANI",
237,323442,,,,,10.7,"CHEESE, RICOTTA, WHOLE MILK, GALBANI",
238,323444,6.86,,,7.81,11.0,"Cheese, ricotta, whole milk",150.53333333333333
239,323448,,,,,1.49,Kale - NFY1212EC,
240,323454,,,,,1.56,Kale - NFY1212CI,
241,323461,,,,,1.45,Kale - NFY1212DW,
242,323466,,,4.0,,,Kale - NFY1212DX,
243,323476,,,,,1.43,Kale - NFY1212CY,
244,323483,,,4.2,,,Kale - NFY1212D0,
245,323493,,,,,1.51,Kale - NFY1212ES,
246,323505,4.42,43.0,4.1,2.92,1.49,"Kale, raw",20.6
247,323511,,,,,11.5,Whole eggs,
248,323518,,,,,10.1,Whole eggs,
249,323524,,,,,9.62,Whole eggs,
250,323531,,,,,10.8,Whole eggs,
251,323538,,,,,11.1,Whole eggs,
252,323545,,,,,9.79,Whole eggs,
253,323553,,,,,10.3,Whole eggs,
254,323559,,,,,10.2,Whole eggs,
255,323567,,,,,9.39,Whole eggs,
256,323574,,,,,9.57,Whole eggs,
257,323580,,,,,10.8,Whole eggs,
258,323587,,,,,10.6,Whole eggs,
259,323594,,,,,10.0,Whole eggs,
260,323601,,,,,10.3,Whole eggs,
261,323604,0.91,146.0,,12.3,10.3,"Egg, whole, raw, frozen, pasteurized",28.4
262,323608,,,,,0.1,Egg whites,
263,323614,,,,,0.13,Egg whites,
264,323620,,,,,0.15,Egg whites,
265,323625,,,,,0.19,Egg whites,
266,323632,,,,,0.12,Egg whites,
267,323639,,,,,0.15,Egg whites,
268,323644,,,,,0.15,Egg whites,
269,323649,,,,,0.16,Egg whites,
270,323655,,,,,0.14,Egg whites,
271,323661,,,,,0.1,Egg whites,
272,323667,,,,,0.17,Egg whites,
273,323672,,,,,0.11,Egg whites,
274,323677,,,,,0.16,Egg whites,
275,323682,,,,,0.23,Egg whites,
276,323690,,,,,0.17,Egg whites,
277,323695,,,,,0.26,Egg whites,
278,323697,0.74,45.0,,10.1,0.16,"Egg, white, raw, frozen, pasteurized",28.4
279,323703,,,,,0.34,"Egg whites, dried",
280,323708,,,,,0.58,"Egg whites, dried",
281,323716,,,,,0.59,"Egg whites, dried",
282,323721,,,,,0.51,"Egg whites, dried",
283,323727,,,,,0.54,"Egg whites, dried",
284,323733,,,,,0.72,"Egg whites, dried",
285,323740,,,,,0.61,"Egg whites, dried",
286,323745,,,,,0.63,"Egg whites, dried",
287,323751,,,,,0.8,"Egg whites, dried",
288,323757,,,,,0.82,"Egg whites, dried",
289,323764,,,,,0.68,"Egg whites, dried",
290,323772,,,,,0.79,"Egg whites, dried",
291,323778,,,,,0.8,"Egg whites, dried",
292,323784,,,,,0.73,"Egg whites, dried",
293,323790,,,,,0.6,"Egg whites, dried",
294,323793,6.02,350.0,,79.9,0.65,"Egg, white, dried",57.0
295,323800,,,,,0.3,Salsa,
296,323808,,,,,0.2,Salsa,
297,323816,,,,,0.1,Salsa,
298,323824,,,,,0.2,Salsa,
299,323831,,,,,0.2,Salsa,
300,323839,,,,,0.2,Salsa,
301,323845,,,,,0.1,Salsa,
302,323853,,,,,0.3,Salsa,
303,323861,,,,,0.2,Salsa,
304,323869,,,,,0.2,Salsa,
305,323877,,,,,0.2,Salsa,
306,323885,,,,,0.3,Salsa,
307,323893,,,,,0.1,"Proximates, Salsa, TOSTITOS CHUNKY, MEDIUM (FL,MO) - NFY090KVT",
308,323895,,,1.8,,,"TDF, Salsa, TOSTITOS CHUNKY, MEDIUM (FL,MO) - NFY090KVU",
309,323902,,,,,0.2,"Proximates, Salsa, TOSTITOS CHUNKY, MEDIUM (CO,CT) - NFY090KVK",
310,323904,,,1.9,,,"TDF, Salsa, TOSTITOS CHUNKY, MEDIUM (CO,CT) - NFY090KVL",
311,323911,,,,,0.1,"Proximates, Salsa, TOSTITOS CHUNKY, MEDIUM (AL,CA1) - NFY090KUN",
312,323913,,,2.0,,,"TDF, Salsa, TOSTITOS CHUNKY, MEDIUM (AL,CA1) - NFY090KUO",
313,323922,,,,,0.2,"Proximates, Salsa, TOSTITOS CHUNKY, MEDIUM (IN,NY) - NFY090KU1",
314,323927,,,1.8,,,"TDF, Salsa, TOSTITOS CHUNKY, MEDIUM (IN,NY) - NFY090KU4",
315,323939,,,,,0.2,"Proximates, Salsa, TOSTITOS CHUNKY, MEDIUM (CA2,NC) - NFY090KUZ",
316,323943,,,1.9,,,"TDF, Salsa, TOSTITOS CHUNKY, MEDIUM (CA2,NC) - NFY090KV2",
317,323955,,,,,0.2,"Proximates, Salsa, TOSTITOS CHUNKY, MEDIUM (MI,OK) - NFY090KW5",
318,323960,,,1.9,,,"TDF, Salsa, TOSTITOS CHUNKY, MEDIUM (MI,OK) - NFY090KW8",
319,323969,,,,,0.1,"Proximates, Salsa, PACE CHUNKY, MEDIUM (AL,CA1) - NFY090KXG",
320,323971,,,1.9,,,"TDF, Salsa, PACE CHUNKY, MEDIUM (AL,CA1) - NFY090KXH",
321,323979,,,,,0.2,"Proximates, Salsa, PACE CHUNKY, MEDIUM (IN,NY) - NFY090KWU",
322,323984,,,1.8,,,"TDF, Salsa, PACE CHUNKY, MEDIUM (IN,NY) - NFY090KWX",
323,323996,,,,,0.2,"Proximates, Salsa, PACE CHUNKY, MEDIUM (CA2,NC) - NFY090KXS",
324,324000,,,1.9,,,"TDF, Salsa, PACE CHUNKY, MEDIUM (CA2,NC) - NFY090KXV",
325,324009,,,,,0.1,"Proximates, Salsa, PACE CHUNKY, MEDIUM (CO,CT) - NFY090KYD",
326,324011,,,1.8,,,"TDF, Salsa, PACE CHUNKY, MEDIUM (CO,CT) - NFY090KYE",
327,324018,,,,,0.2,"Proximates, Salsa, PACE CHUNKY, MEDIUM (FL,MO) - NFY090KYM",
328,324020,,,1.7,,,"TDF, Salsa, PACE CHUNKY, MEDIUM (FL,MO) - NFY090KYN",
329,324029,,,,,0.2,"Proximates, Salsa, PACE CHUNKY, MEDIUM (MI,OK) - NFY090KYY",
330,324034,,,1.8,,,"TDF, Salsa, PACE CHUNKY, MEDIUM (MI,OK) - NFY090KZ1",
331,324038,6.74,,1.8,1.44,0.19,"Sauce, salsa, ready-to-serve",35.7
332,324051,,,,,29.7,"BEEF BREAKFAST SAUSAGE, BANQUET BROWN N SERVE SAUSAGE LINKS",
333,324062,,,,,25.4,"BEEF BREAKFAST SAUSAGE, ECKRICH SAUSAGE LINKS",
334,324081,,,,,28.2,"BEEF BREAKFAST SAUSAGE, ECKRICH SAUSAGE LINKS",
335,324090,,,,,28.5,"BEEF BREAKFAST SAUSAGE, ECKRICH SAUSAGE LINKS",
336,324104,,,,,28.1,"BEEF BREAKFAST SAUSAGE, BANQUET BROWN N SERVE SAUSAGE LINKS",
337,324127,,,,,28.0,"BEEF BREAKFAST SAUSAGE, BANQUET BROWN N SERVE SAUSAGE LINKS",
338,324146,,,,,32.5,"BEEF BREAKFAST SAUSAGE, BANQUET BROWN N SERVE SAUSAGE LINKS, MAPLE FLAVOR",
339,324157,3.37,325.0,,13.3,28.7,"Sausage, breakfast sausage, beef, pre-cooked, unprepared",18.6
340,324164,,,,,15.0,"Proximates, Onion rings, frozen, ALEXIA (CA2,NC) - NFY120675",
341,324169,,,,,15.7,"Proximates, Onion rings, frozen, Store brand/other (AL,MI) - NFY12068R",
342,324176,,,,,12.8,"Proximates, Onion rings, frozen, ORE-IDA (CA2,NC) - NFY12069K",
343,324190,,,,,15.8,"Proximates, Onion rings, frozen, ALEXIA (FL,MO) - NFY12068D",
344,324192,,,2.8,,,"TDF, Onion rings, frozen, ALEXIA (FL,MO) - NFY12068F",
345,324209,,,,,12.6,"Proximates, Onion rings, frozen, ORE-IDA (CA1,CT) - NFY120696",
346,324211,,,1.9,,,"TDF, Onion rings, frozen, ORE-IDA (CA1,CT) - NFY120698",
347,324227,,,,,14.8,"Proximates, Onion rings, frozen, ALEXIA (CO,CT) - NFY12067K",
348,324229,,,2.6,,,"TDF, Onion rings, frozen, ALEXIA (CO,CT) - NFY12067M",
349,324246,,,,,13.7,"Proximates, Onion rings, frozen, ORE-IDA (NY,OK) - NFY1206AS",
350,324248,,,2.6,,,"TDF, Onion rings, frozen, ORE-IDA (NY,OK) - NFY1206AU",
351,324258,,,,,15.8,"Proximates, Onion rings, frozen, ALEXIA (IN,NY) - NFY12066A",
352,324264,,,,,13.9,"Proximates, Onion rings, frozen, Store brand/other (CO,IN) - NFY12069Z",
353,324266,,,2.2,,,"TDF, Onion rings, frozen, Store brand/other (CO,IN) - NFY1206A1",
354,324285,,,,,12.6,"Proximates, Onion rings, frozen, ORE-IDA (FL,MO) - NFY1206AE",
355,324294,,,1.8,,,"TDF, Onion rings, frozen, ORE-IDA (FL,MO) - NFY1207BC",
356,324311,,,,,15.4,"Proximates, Onion rings, frozen, ALEXIA (AL,OK) - NFY12066P",
357,324313,,,2.5,,,"TDF, Onion rings, frozen, ALEXIA (AL,OK) - NFY12066R",
358,324317,36.3,293.0,2.4,4.52,14.4,"Onion rings, breaded, par fried, frozen, prepared, heated in oven",20.2
359,324324,,,,,0.24,"Proximates, Pickles, kosher dill, spears, VLASIC (FL,MO) - NFY120HMY",
360,324331,,,,,0.36,"Proximates, Pickles, kosher dill, spears, VLASIC (CA2,NC) - NFY120HMD",
361,324338,,,,,0.3,"Proximates, Pickles, kosher dill, spears, VLASIC (IN,NY) - NFY120HLM",
362,324347,,,,,0.4,"Proximates, Pickles, kosher dill, spears, VLASIC (CO,CT) - NFY120HMM",
363,324349,,,1.1,,,"TDF, Pickles, kosher dill, spears, VLASIC (CO,CT) - NFY120HMO",
364,324358,,,,,0.3,"Proximates, Pickles, kosher dill, spears, CLAUSEN (IN,NY) - NFY120HNO",
365,324365,,,,,0.24,"Proximates, Pickles, kosher dill, spears, CLAUSEN (CA2,NC) - NFY120HOC",
366,324377,,,,,0.24,"Proximates, Pickles, kosher dill, spears, VLASIC (MI,OK) - NFY120HN9",
367,324380,,,1.0,,,"TDF, Pickles, kosher dill, spears, VLASIC (MI,OK) - NFY120HNC",
368,324394,,,,,0.32,"Proximates, Pickles, kosher dill, spears, VLASIC (AL,CA1) - NFY120HLX",
369,324397,,,0.9,,,"TDF, Pickles, kosher dill, spears, VLASIC (AL,CA1) - NFY120HM0",
370,324409,,,,,0.2,"Proximates, Pickles, kosher dill, spears, CLAUSEN (CO,CT) - NFY120HOK",
371,324411,,,1.1,,,"TDF, Pickles, kosher dill, spears, CLAUSEN (CO,CT) - NFY120HOM",
372,324420,,,,,0.36,"Proximates, Pickles, kosher dill, spears, CLAUSEN (MI,OK) - NFY120HOV",
373,324431,,,,,0.35,"Proximates, Pickles, kosher dill, spears, CLAUSEN (AL,CA1) - NFY120HNX",
374,324434,,,1.1,,,"TDF, Pickles, kosher dill, spears, CLAUSEN (AL,CA1) - NFY120HO0",
375,324444,,,,,0.28,"Proximates, Pickles, kosher dill, spears, store brand, AMERICAS CHOICE & SHOP RITE (NY,CT1) - NFY120HPJ",
376,324451,,,,,0.3,"Proximates, Pickles, kosher dill, spears, store brand, HY VEE & PUBLIX (MO1,FL) - NFY120HQO",
377,324458,,,,,0.28,"Proximates, Pickles, kosher dill, spears, store brand, FOOD LION & SUNNY SELECT (NC1,CA2) - NFY120HQ5",
378,324465,,,,,0.25,"Proximates, Pickles, kosher dill, spears, store brand, SAFEWAY (CA1,CO1) - NFY120HPR",
379,324468,,,1.0,,,"TDF, Pickles, kosher dill, spears, store brand, SAFEWAY (CA1,CO1) - NFY120HPU",
380,324480,,,,,0.36,"Proximates, Pickles, kosher dill, spears, store brand, GREAT VALUE & GREAT VALUE (AL1,OK1) - NFY120HQD",
381,324482,,,0.9,,,"TDF, Pickles, kosher dill, spears, store brand, GREAT VALUE & GREAT VALUE (AL1,OK1) - NFY120HQF",
382,324496,,,,,0.33,"Proximates, Pickles, kosher dill, spears, CLAUSEN (FL,MO) - NFY120HP5",
383,324499,,,1.3,,,"TDF, Pickles, kosher dill, spears, CLAUSEN (FL,MO) - NFY120HP8",
384,324506,,,,,0.44,"Pickles, kosher dill",
385,324512,,,,,0.7,"Pickles, kosher dill",
386,324524,,,,,0.37,"Proximates, Pickles, kosher dill, spears, store brand, KROGER (IN1,MI1) - NFY120HQX",
387,324526,,,0.8,,,"TDF, Pickles, kosher dill, spears, store brand, KROGER (IN1,MI1) - NFY120HQZ",
388,324536,,,,,0.63,"Pickles, kosher dill",
389,324544,,,,,0.65,"Pickles, kosher dill",
390,324552,,,,,0.87,"Pickles, kosher dill",
391,324560,,,,,0.57,"Pickles, kosher dill",
392,324565,,,,,0.26,"Pickles, kosher dill",
393,324574,,,,,0.6,"Pickles, kosher dill",
394,324581,,,,,0.55,"Pickles, kosher dill",
395,324589,,,,,0.68,"Pickles, kosher dill",
396,324597,,,,,0.55,"Pickles, kosher dill",
